#Data extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data-7-28-23\iMata_GDANB_Pt4\Sample Specific Files\iMata_pt4_GDANB_SampleSheet_Final.csv

Sample_ID,SentrixBarcode_A,SentrixPosition_A,
202303637-01,207408280079,R04C01,
202303794-01,207408280079,R05C01,
202303856-01,207408280079,R06C01,
202303725-01,207408280079,R07C01,
202303364-01,207408280079,R08C01,
202303837-01,207408280056,R01C01,
202303619-01,207408280056,R02C01,
202303390-01,207408280056,R03C01,
202303803-01,207408280056,R04C01,
202303367-01,207408280056,R05C01,
201207480-04_pG,207408280056,R06C01,
202303424-01,207408280056,R07C01,
202303772-01,207408280056,R08C01,
202303901-01,207408280076,R01C01,
202303322-01,207408280076,R02C01,
202303648-01,207408280076,R03C01,
202303398-01,207408280076,R04C01,
202303896-01,207408280076,R05C01,
202303323-01_Rerun,207408280076,R06C01,
202303871-01_Rerun,207408280076,R07C01,
202303409-01_Rerun,207408280076,R08C01,
